Smartphone LG OpTimus L1 II Tri E475 Tri Chip Desbloqueado Android 4.1 Tela 3 4GB 3G Wi-Fi Câmera 2MP - Rosa;Telefonia;Smartphone;LG;OPTIMUS L1 II
Smartphone LG G3 Beat Dual D724 Dual Chip Desbloqueado Android 4.4 Tela 5 8GB 3G Wi-Fi Câmera 8MP - Branco;Telefonia;Smartphone;LG;G3 BEAT
Smartphone LG Triple L20 D107 Android 4.4 Tela 3 4GB 3G Wi-Fi Câmera 2MP - Preto e Grafite;Telefonia;Smartphone;LG;L20
Smartphone Samsung Galaxy Pocket Neo Duos S5312 Dual Chip Desbloqueado Android Tela 3 4GB 3G Wi-Fi Câmera 2MP - Prata;Telefonia;Smartphone;Samsung;GALAXY POCKET NEO DUOS
Smartphone Motorola Moto E 2ª Geração Colors Dual Chip Desbloqueado Android Lollipop 5.0 Tela 4.5 16GB Wi-Fi Câmera de 5MP - Branco;Telefonia;Smartphone;Motorola;MOTO E 2 GERAÇÃO
Smartphone LG G4 Desbloqueado Android 5.0 Tela 5.5 32GB 4G Wi-Fi Câmera 16MP Hexa Core - Branco;Telefonia;Smartphone;LG;G4
Smartphone Sony Xperia E3 Dual Chip Desbloqueado Android 4.4 Tela 4.5 4GB Câmera de 5MP GPS - Branco;Telefonia;Smartphone;Sony;XPERIA E3
Smartphone Nokia Lumia 800 Desbloqueado Claro - Preto GSM Tela Curva 3.7 AMOLED Processador 1.4GHz 3G Wi-Fi Câmera 8 MP com Dual-LED Flash e lente Carl Zeiss Memória interna de 16GB e grátis 7GB de armazenamento no Sky Drive;Telefonia;Smartphone;Nokia;LUMIA 800
Smartphone Nokia C5-03 Desbloqueado Claro, Cinza / Prata, Tela 3.2, Câmera 5.0MP, 3G, Wi-Fi, Memória Interna 40MB e Cartão 2GB;Telefonia;Smartphone;Nokia;C5-03
Smartphone LG D340 L70 Tri Chip Android 4.4 KitKat Tela 4.5 4GB 3G Wi-Fi Câmera 8MP - Branco;Telefonia;Smartphone;LG;L70
Smartphone Motorola Moto X 2ª Geração Desbloqueado Android 4.4 Tela 5.2 32GB 4G Wi-Fi Câmera 13MP GPS - Branco Bambu;Telefonia;Smartphone;Motorola;MOTO X 2 GERAÇÃO
Smartphone Samsung Galaxy Gran 2 Duos Dual Chip Desbloqueado Android 4.3 Tela 5.3 Câmera 8MP TV Digital - Preto;Telefonia;Smartphone;Samsung;GALAXY GRAN 2 DUOS
Smartphone Samsung Galaxy Core Plus Dual Chip Desbloqueado Android 4.3 Tela 4.3 Preto 3G Wi-Fi Câmera 5MPx TV Digital - Preto;Telefonia;Smartphone;Samsung;CORE PLUS
Smartphone Motorola RAZR i Android 4.0 Tela 4.3 8GB 3G Wi-Fi Câmera de 8MP GPS - Branco;Telefonia;Smartphone;Motorola;RAZR I
